"phygad_aclfla" "phygad_ampsp1" "phygad_batcla" "phygad_certae" "phygad_chapro" "phygad_cresp4" "phygad_enclae" "phygad_glypro" "phygad_locpim" "phygad_masaci" "phygad_medaff" "phygad_megluc" "phygad_ortsp3" "phygad_physub" "phygad_plamon" "phygad_pollam" "phygad_stibro" "phygad_sulsp2" "phygad_themic" "phygad_tripim" "phygad_trofal" "phygad_xipsp1" "phygad_isacor" "phygad_isagal" "phygad_isalon" "phygad_isamin" "phygad_isaini" "phygad_mastru" "phygad_micten" "phygad_neoden" "phygad_thanee" "phygad_zoolar" "meansp_fossil" "phygad_gracil" "phygad_oeccus" "phygad_plehun" "phygad_stigag" "phygad_uchmar" "phygad_chithy" "phygad_endsub" "phygad_eudsp." "phygad_gnoten" "phygad_hembip" "phygad_acrnig" "phygad_agaswe" "phygad_atrbic" "phygad_chithy" "phygad_dialav" "phygad_diccra" "phygad_ethsyr" "phygad_lysman" "phygad_meslae" "phygad_xenbit"
"phygad_medaff" 0.126821350659284 0.0695819090502957 0.131496219132094 0.0789697748133947 0.0953033113729566 0.14381696395906 0.105714297982661 0.0995608309573087 0.100101289640764 0.087939367642481 0 0.0619179437746556 0.0839395893555761 0.079380594773089 0.0894986476251897 0.163569454309296 0.13667934195297 0.0868730092575908 0.0876665634333817 0.141284279378672 0.0786635186510958 0.0688089573256874 0.158626253136719 0.143792067826609 0.1833265909243 0.178557355349488 0.176083430666429 0.129083765156144 0.140505461307917 0.150699982872064 0.125644898996933 0.127897247931119 0.148952353342402 0.116597377907016 0.0918405655870414 0.0916860342876134 0.102575801338513 0.106769505980969 0.0907845964649117 0.0695797758929364 0.098082596037312 0.101478371344937 0.11422861076377 0.110328537624619 0.119620692144084 0.104970293297631 0.0864305522201044 0.116112340208123 0.104171488499226 0.0829477159033998 0.105814073276676 0.112292064958884 0.108723415834491
"phygad_megluc" 0.114001926495742 0.0651347561216738 0.125398687410714 0.053188594519264 0.0655794869084606 0.120975830810669 0.0635416400494251 0.0915238935597991 0.0959553274920958 0.0745107574150913 0.0619179437746556 0 0.0613734601008011 0.0530054022814553 0.0725204551628202 0.126544720149021 0.103007928257958 0.0581123811417046 0.0689207805328312 0.117538925098291 0.0978861492457005 0.0564864506333854 0.14141460130634 0.123060028462033 0.162986270382325 0.155342331227705 0.155103234785311 0.0936420999130531 0.102549652323251 0.128848283239143 0.0863031700176602 0.0868240986472291 0.118344799411465 0.0913903595824684 0.0723550728622259 0.0651999924555991 0.0765549372944995 0.0834199576544386 0.0937629704724479 0.0617550048149779 0.0676475167850189 0.0755360438231959 0.0956090107221369 0.077605082908434 0.0953964350362855 0.0833319860579726 0.0889995969952247 0.0811171411659943 0.0925707115672736 0.0646519893584153 0.0721036121968075 0.0936433567329987 0.091204809489164
"phygad_ortsp3" 0.128439777798766 0.0690566251149204 0.109468608315212 0.05866039558803 0.0733581205012222 0.106324203200152 0.0846220781528744 0.109176481389204 0.117781654608994 0.081851859211236 0.0839395893555761 0.0613734601008011 0 0.0679397976925833 0.0625696529318499 0.152311723125446 0.0976991507038678 0.0850207406856996 0.0587292221079733 0.109153024225303 0.106465110900858 0.073640888435869 0.165894704503839 0.13812826068244 0.17543822076389 0.168576477096544 0.178694505094006 0.118352470989174 0.123238393870692 0.144859505350483 0.119329782289861 0.0995239833219416 0.150428249646028 0.136837543216733 0.0551186477763462 0.0692116182454821 0.0947558392868681 0.0843049258447587 0.0988601890042796 0.0790396678551917 0.0817785901489781 0.0734959706700261 0.109731455126687 0.0884197319552244 0.0820092805873897 0.0659208062369233 0.0998102019390488 0.0920348935343948 0.123123369942968 0.0825681538520557 0.103238457688019 0.0881483283116601 0.0937722959418198
"phygad_physub" 0.121276306455135 0.0763408381451752 0.134298175827328 0.0734487313834064 0.0654998011825751 0.0985089289717248 0.0875384705500184 0.0753946443891952 0.102070806882749 0.067477359810763 0.079380594773089 0.0530054022814553 0.0679397976925833 0 0.0762643490215404 0.1239860332118 0.0930466260016301 0.0672777897369281 0.0792904542999855 0.115972268270729 0.112201251313125 0.0686087646535906 0.156711879647695 0.112636126649934 0.15337844099886 0.151582985448924 0.152215727426158 0.0996588638116129 0.125942340197251 0.148596675202324 0.0933478962898527 0.097386088742211 0.139336540534758 0.114249405996943 0.0776872635457684 0.0660027294169065 0.0876636060788613 0.104912206565854 0.109180340734378 0.0684020386247917 0.0699450858795318 0.0778238510836033 0.0939275218599646 0.0989981076192487 0.0946011154458261 0.0905083470174322 0.105791910968386 0.0911793452098936 0.0781030124345872 0.0725988640889157 0.0791198649167993 0.0982610759316758 0.0990621596124227
"phygad_plamon" 0.116685281786635 0.0785991893010762 0.0977401750417923 0.0604688459512472 0.074940821609653 0.0945670556364449 0.0763243801932108 0.107122359903323 0.109032834399376 0.0811594342800857 0.0894986476251897 0.0725204551628202 0.0625696529318499 0.0762643490215404 0 0.144867129128655 0.0969182164085201 0.073041427905912 0.0706499282045353 0.0801366282605259 0.0977356706478072 0.0587317943761935 0.157701462328171 0.114880827177832 0.16743095897543 0.146898588045984 0.172827415606401 0.105857863031433 0.10563496117733 0.139404198457222 0.119362116202634 0.0838023622769005 0.158983903219249 0.135933655012919 0.0542388234252822 0.0680295252567006 0.0961960727640498 0.0870537779584155 0.103429545950511 0.0714285575754783 0.0822929031718715 0.0692418573391426 0.110417124267364 0.074117015590765 0.072879974247657 0.0726798802262941 0.0926868980919571 0.0727696830258649 0.12879263246563 0.0897372136608535 0.0972875841892072 0.103637611495064 0.0995167587017615
"phygad_pollam" 0.122615183869612 0.159215076772601 0.196256720631436 0.148511154821586 0.108733234223741 0.126937103860494 0.111915105501219 0.141504829289016 0.132843862602701 0.143467137403208 0.163569454309296 0.126544720149021 0.152311723125446 0.1239860332118 0.144867129128655 0 0.10055237651538 0.114721834929982 0.150548878908854 0.156010587412778 0.185521798112608 0.148538932189768 0.151423318404855 0.113550481224875 0.131815636584333 0.119789029311574 0.12814166285071 0.120096457791034 0.120713637710714 0.166193413124577 0.108690961468548 0.110944096037932 0.137789972177242 0.116524344062814 0.164469565500074 0.123728670621991 0.113058982295417 0.152507691140807 0.18962908109518 0.136574213521328 0.0993585450037922 0.131405379552722 0.107475547689396 0.149345407159358 0.145757130033127 0.157287066524194 0.18015230212084 0.111502266441003 0.119634284664966 0.115055109253613 0.0970555611914507 0.163855252852776 0.127557710348732
"phygad_stibro" 0.111495490556378 0.119209224441903 0.143576244167392 0.101058150372682 0.0601630930720944 0.0742270230254395 0.0835488403907607 0.137963768915554 0.138433483612897 0.1259763139269 0.13667934195297 0.103007928257958 0.0976991507038678 0.0930466260016301 0.0969182164085201 0.10055237651538 0 0.101327516858494 0.106529475923205 0.112582127866036 0.152521749083205 0.114335355295941 0.183535643334241 0.115954750468177 0.136399795217143 0.144160301788492 0.153714309933993 0.118411216109078 0.111197690236164 0.163337611616546 0.104920350129871 0.0923589328032497 0.148610096053128 0.147274265935637 0.111390592679099 0.069274739256083 0.0840334109795218 0.121465149925626 0.146037585643029 0.12066594575312 0.0746806833268441 0.0857110400400688 0.110765276409121 0.113068851704744 0.0963465541681005 0.100047213480196 0.144645492823124 0.0839364944649365 0.119843508756084 0.0945534576677484 0.0843427728720525 0.11188160970884 0.106714717281969
"phygad_sulsp2" 0.109445836977419 0.083332775635306 0.131337297230787 0.0721127784839671 0.0736999531565709 0.113422932596172 0.0654912722280143 0.0835238959651854 0.0935532699017563 0.0717540444123813 0.0868730092575908 0.0581123811417046 0.0850207406856996 0.0672777897369281 0.073041427905912 0.114721834929982 0.101327516858494 0 0.0806909278856808 0.0970478516201403 0.0955616290632843 0.0741015033652394 0.142362311301648 0.0955014756488911 0.147183786849306 0.146981898613485 0.126191330465294 0.102750523188366 0.0899149175154186 0.115785827987226 0.0836587840262831 0.0803835363656261 0.122204231397943 0.0979517176868394 0.093113383387069 0.0792122738726947 0.0889847992996982 0.0935596704511224 0.102844541389769 0.0695053512173172 0.0673830300141354 0.0709742760417287 0.107197915814599 0.0824124168633669 0.101003897958903 0.103398529711007 0.096878519470353 0.0644557953778884 0.0944101002667242 0.0718075746323489 0.0723384273135226 0.112040717929165 0.102844638550674
"phygad_themic" 0.120523519388224 0.0639568812279655 0.0895031879836625 0.0518990221747856 0.0842380712488345 0.119238098657978 0.0772500650435681 0.11271085554867 0.12498513209014 0.102949984743494 0.0876665634333817 0.0689207805328312 0.0587292221079733 0.0792904542999855 0.0706499282045353 0.150548878908854 0.106529475923205 0.0806909278856808 0 0.104530090332026 0.0967195188579904 0.0814647187545947 0.166151194128298 0.135292219941108 0.17533579237489 0.162629198414179 0.173122399665523 0.12455182188782 0.109698577977335 0.120932160946006 0.11494888528257 0.0911291724767548 0.143025318242199 0.136569181241798 0.0597194899125774 0.0764066373383161 0.0778610749205908 0.0742657952394307 0.0929521920052053 0.0769563068678575 0.0893055012219021 0.0630220361981466 0.120765641602112 0.0855298481690889 0.0945181183335259 0.0691144726425365 0.0940238523939653 0.0888634485777036 0.130796259627129 0.0905277014877737 0.106541362658949 0.0835113246249396 0.102035530705791
"phygad_tripim" 0.129505043221159 0.128084313509177 0.122329940512135 0.100170949818466 0.103509409007893 0.108404996770222 0.104939986397922 0.148211535327787 0.148624589895936 0.126632212367101 0.141284279378672 0.117538925098291 0.109153024225303 0.115972268270729 0.0801366282605259 0.156010587412778 0.112582127866036 0.0970478516201403 0.104530090332026 0 0.120520190578922 0.113105747869107 0.191525014942877 0.118709101889644 0.169131594914481 0.157016065512414 0.166788266482111 0.131343464552382 0.106626745989259 0.127394727676007 0.120600661897111 0.0993529008197701 0.17542933839163 0.171029154032362 0.0977186531914392 0.101992142478009 0.120070952013752 0.114972163045352 0.142878866371815 0.117423322479497 0.124457528858856 0.0832381215683891 0.158763679970361 0.0904604926083079 0.0710196585037962 0.113360218160787 0.135452064579235 0.0832511465961197 0.156111349636513 0.135151778571447 0.129450519518824 0.13603592507466 0.148469083405887
