"phygad_aclfla" "phygad_ampsp1" "phygad_batcla" "phygad_certae" "phygad_chapro" "phygad_cresp4" "phygad_enclae" "phygad_glypro" "phygad_locpim" "phygad_masaci" "phygad_medaff" "phygad_megluc" "phygad_ortsp3" "phygad_physub" "phygad_plamon" "phygad_pollam" "phygad_stibro" "phygad_sulsp2" "phygad_themic" "phygad_tripim" "phygad_trofal" "phygad_xipsp1" "phygad_anumin" "phygad_brabra" "phygad_bratem" "phygad_epeano" "phygad_forbid" "phygad_gracil" "phygad_hyphex" "phygad_oeccus" "phygad_plehun" "phygad_rhasig" "phygad_stigag" "phygad_trazon" "phygad_vesmaj" "phygad_uchmar" "phygad_amypul" "phygad_apotru" "phygad_diapro" "phygad_endsub" "phygad_eudsp." "phygad_gabdes" "phygad_gnoten" "phygad_hembip" "phygad_isdlyc" "phygad_parfas" "phygad_retsp." "phygad_stidec" "phygad_teldec" "phygad_acrnig" "phygad_agaswe" "phygad_atrbic" "phygad_dialav" "phygad_diccra" "phygad_ethsyr" "phygad_lysman" "phygad_meslae" "phygad_xenbit" "fossil_fossil"
"phygad_ortsp3" 0.0764411271215003 0.0653103325498291 0.113088474387128 0.0517447325428884 0.0703365325271274 0.10613253970332 0.0873907797686108 0.100833063234093 0.112391832983693 0.0867242782202556 0.0811912923542326 0.0519318083508811 0 0.0575513859356255 0.0609252008096071 0.151692542341841 0.0978864327095791 0.0786282694551199 0.0656640391607564 0.112281589679016 0.106307674010402 0.0650921873590454 0.143248067474955 0.0893560354944358 0.0978695038067624 0.0608957694671426 0.114730736385024 0.131341643654664 0.135873927416257 0.0488755232680892 0.0688605397060216 0.0968433948801849 0.103854344370923 0.106863781638623 0.0955300750616701 0.082338825089736 0.0884698426134258 0.0633816908233595 0.104408418020088 0.0728236501032979 0.0813165613987551 0.105213976900435 0.0702330796770171 0.103161643680773 0.0830834923225353 0.127367578862836 0.110855507723468 0.0663741207341095 0.11936581441347 0.0856794678138116 0.0847345775170023 0.0644387471895352 0.0909624724318239 0.117646857078147 0.0787948201803047 0.0963527474255312 0.0884212510349456 0.0911483673004993 0.148424723421827
"phygad_physub" 0.0866393597788799 0.0653171188634504 0.130227295711375 0.0723037034379731 0.0673746896666765 0.101271756164578 0.0929239391786965 0.0744023599591091 0.104157802463195 0.0771672382071516 0.0799142757885074 0.0513072683378358 0.0575513859356255 0 0.0764635436460164 0.128368943891736 0.0957716340646711 0.0645502689775664 0.06934974197007 0.115667347839767 0.111527770495117 0.065647999478135 0.134211183849513 0.0818732666922282 0.106679033451682 0.0752525904448116 0.127332600805665 0.114580838687688 0.11812633421931 0.0738130411415418 0.0683187175755664 0.0971261447454136 0.114122460072204 0.0997070273343547 0.108133768510892 0.103259334057168 0.0946433090449667 0.075561763659389 0.0970853800186451 0.064160356822304 0.0728846896558457 0.123502581062521 0.0755811653616437 0.0940172488267239 0.0798912965488087 0.129857396094255 0.117886097115556 0.0743366361390844 0.130282289066248 0.0961730764797859 0.0919778130247358 0.0892887999937619 0.0915422128731762 0.0806314966100291 0.0744506870668902 0.081269502458951 0.0992978671426354 0.100340941850661 0.13744847990071
"phygad_plamon" 0.0798241357080877 0.0807020348571385 0.0991031989704487 0.0623907597428796 0.0754413009907336 0.0946540944681787 0.0791944770475072 0.107912879349373 0.107983029493388 0.0856835476102617 0.0960929815058216 0.0684859935182281 0.0609252008096071 0.0764635436460164 0 0.144715920037175 0.0983683380733424 0.0708323840519776 0.0765347004972703 0.0801619647817959 0.103535761527935 0.0586608416764476 0.127412558971581 0.105314931269326 0.0829369777218481 0.0627192778509466 0.104602368141885 0.13612460914432 0.140770749730858 0.0532736700453535 0.0684924481385865 0.0907518594413978 0.111812323579577 0.0829428076280471 0.0819758770162298 0.0873560044541105 0.0667391902287054 0.0637856432737772 0.111845555914405 0.0698321703283601 0.0829220454088847 0.0828095455014546 0.0676548842223225 0.108277079488905 0.0559932631151314 0.117281948029178 0.108718870506273 0.0663827958504284 0.0931906704193734 0.0745157908813053 0.073118451841134 0.0742717098127506 0.0738201187188654 0.131036058044967 0.0917546971911369 0.0953781657596069 0.106718335558445 0.100874184286041 0.159132633051027
"phygad_pollam" 0.113668383475294 0.153260060276482 0.192011929199179 0.149251567975002 0.109354768195741 0.124793050062628 0.109929121191013 0.14270873418347 0.132887235049301 0.147208971528062 0.169544315319564 0.130061603386742 0.151692542341841 0.128368943891736 0.144715920037175 0 0.0989451165629597 0.120692254459944 0.141238043132352 0.154270561588842 0.187849781043137 0.150546251094419 0.0784551115543505 0.164186462961761 0.120474060927888 0.124901338833466 0.19200222358846 0.119250189946288 0.147781713354082 0.16390060066152 0.119458033592755 0.120619063099284 0.145435344271581 0.134268765412081 0.134513577002398 0.152099471977385 0.166714028504022 0.127708192030528 0.0997693137992734 0.136259779729243 0.0959049922570182 0.149677466999497 0.13147284047757 0.105519125373042 0.122683500463926 0.160698264923373 0.120763506798314 0.118767521176998 0.160669045110698 0.149566010939936 0.143966933725856 0.156975015900264 0.110425019189924 0.123093464577676 0.116333555501453 0.0957313063057218 0.166234664484201 0.12676636633532 0.139541346428109
"phygad_stibro" 0.0720637865473234 0.118100343523778 0.143289422810681 0.101310203939493 0.0596231099856336 0.0715818985407857 0.0847026497749121 0.1372020068858 0.136580734679875 0.131857516863254 0.141167303397617 0.101892906351409 0.0978864327095791 0.0957716340646711 0.0983683380733424 0.0989451165629597 0 0.10415320108418 0.105343619476252 0.112999867340671 0.155384806239576 0.11477191028258 0.0848168029527301 0.14258846118472 0.0798233721723724 0.0764166310746069 0.151313244693875 0.145836931312474 0.141764868798206 0.11016641154517 0.0666247097088655 0.117919929802327 0.1269400231776 0.123679939936246 0.100163793574869 0.12083630996016 0.134896094740086 0.0926990026260012 0.0821959630294398 0.118493485120214 0.0740819753258009 0.11446895989272 0.0843879315919932 0.107131220821365 0.0925337906034468 0.134043317565575 0.0697399006079607 0.0911527628424042 0.131276934068216 0.113189649579326 0.0950704544730804 0.101654803471984 0.0826350807647119 0.121711455301387 0.0946652313522913 0.0816217964163268 0.113782913666507 0.105991938603083 0.147765581509386
"phygad_sulsp2" 0.095213807360322 0.0740543658910794 0.125181297625177 0.0694501680405001 0.0743570934760807 0.114527839504036 0.071185245575405 0.0826599999913839 0.0940832902202147 0.0783142420539891 0.0893304802204201 0.0565934681422971 0.0786282694551199 0.0645502689775664 0.0708323840519776 0.120692254459944 0.10415320108418 0 0.0714494841265877 0.0950677167469979 0.0974681529918932 0.0738353021126638 0.132974862775479 0.0832173816575922 0.0886340877137633 0.0658255738726136 0.101806737055723 0.0997391363452533 0.0958360809535395 0.0884563810457937 0.0799334340750808 0.081092375183737 0.102587347931309 0.0605867886080339 0.0809106266591979 0.0917388749283869 0.0738470833421746 0.061251716522372 0.111088613741319 0.0658094329373148 0.0712244737158083 0.0969694353785403 0.0689498288681731 0.106044126702833 0.0724412478498885 0.100493794150916 0.108682967031014 0.0605643085897583 0.100700165897851 0.0772992914019535 0.0998708561784421 0.10154647146262 0.0650683091867165 0.0957838997997645 0.0745009639068659 0.0753851339554693 0.113183516094901 0.104789092508039 0.121675103470226
"phygad_themic" 0.0784593485277537 0.0652224678098086 0.0948474013861402 0.0647208158202082 0.0757052637067318 0.120116649862193 0.0833305533195359 0.113710453983606 0.114105859542306 0.0994279913781053 0.0801023094835007 0.0623736940273107 0.0656640391607564 0.06934974197007 0.0765347004972703 0.141238043132352 0.105343619476252 0.0714494841265877 0 0.0959208466675912 0.0876926502690936 0.0857771971394918 0.141939564292835 0.0891332338465291 0.102293134919985 0.0761827586694547 0.0944165400167913 0.128445097163173 0.122459776801328 0.0705121847742619 0.0839599735931103 0.0936128214149617 0.0869679927815817 0.104883223278849 0.0794747535513446 0.0622735544809391 0.0761917533592306 0.061894575397436 0.119680150103251 0.0783468533024938 0.0913556798811562 0.0912809068740939 0.0532803898842337 0.121055356715299 0.0962034127136242 0.0915354831337919 0.0973396630801064 0.0662638949557478 0.0920551956853209 0.0753877452564508 0.0855436608249006 0.0714182924301787 0.0802945758400282 0.111198138239373 0.0839585177134369 0.0942825204724889 0.0958762890282232 0.101711065644397 0.140658541629347
"phygad_tripim" 0.113440183717265 0.123736014625199 0.117654938822996 0.101610981393174 0.103181539959688 0.108195484160124 0.106230504248464 0.14851246235236 0.146916303791844 0.128975459951225 0.143812768522399 0.114820853345814 0.112281589679016 0.115667347839767 0.0801619647817959 0.154270561588842 0.112999867340671 0.0950677167469979 0.0959208466675912 0 0.122247563887094 0.115207210738122 0.141182231497938 0.145844198781614 0.110363831190227 0.104884901506655 0.101853389274233 0.171896117379179 0.151331202136212 0.0967909917023326 0.102831658791291 0.136417121943384 0.139705099465163 0.107365372272924 0.0855476562916212 0.1144756796827 0.0933248350613152 0.103586946857606 0.139208710044195 0.115860987217575 0.124678000275035 0.0948459526489625 0.0816002554258801 0.155766404028654 0.0888504385756989 0.106831612865021 0.110396941321419 0.102877349650243 0.0896337838059954 0.0889027362429571 0.0731632057363786 0.114159359639614 0.0832285747672962 0.157891285187105 0.136471383475409 0.128358741838414 0.138718002710363 0.148858107667 0.174252468999913
"phygad_trofal" 0.122276858198873 0.0783615691795037 0.113677015835266 0.101654982764878 0.113360546300407 0.152016812667695 0.126910497589679 0.13126092554265 0.114670758205242 0.111878783665712 0.0764204459437324 0.0994112068177188 0.106307674010402 0.111527770495117 0.103535761527935 0.187849781043137 0.155384806239576 0.0974681529918932 0.0876926502690936 0.122247563887094 0 0.10147500358738 0.184241911700896 0.0767371060001173 0.140070059360839 0.109737169296468 0.104400320085017 0.153156570050029 0.109649521976102 0.108214081765856 0.120635245743923 0.121497026540928 0.124561345581633 0.122656160207193 0.120328364280277 0.116529618668634 0.0842222934757956 0.0953715207783062 0.153082894389639 0.0935823330714363 0.128800637668317 0.128973770403888 0.0972002385195569 0.152962993427968 0.131694728627924 0.117636989669878 0.142361156036892 0.101160204822085 0.111255563478496 0.117582341869554 0.122648686958058 0.121898275046892 0.121785085701263 0.133731537723309 0.107663790911917 0.133305273130386 0.12868224640243 0.132954615667679 0.172536082845892
"phygad_xipsp1" 0.0885499802634798 0.0708261030025444 0.122626961062146 0.0647499330327245 0.0803930899163855 0.110456316396803 0.0912275186515042 0.101013498360449 0.0927356782871785 0.0840768319332038 0.0770277588332993 0.0540927142651151 0.0650921873590454 0.065647999478135 0.0586608416764476 0.150546251094419 0.11477191028258 0.0738353021126638 0.0857771971394918 0.115207210738122 0.10147500358738 0 0.139614480490092 0.0888630308659753 0.105715748592678 0.0657969216720036 0.118482419366018 0.115885262181438 0.123187156129477 0.0689234684539833 0.0737748174063109 0.0807922660351858 0.112248770306998 0.0861337194427748 0.104400056316855 0.103978789477906 0.0731801483516395 0.0712958211397615 0.109904445713257 0.0622559606522318 0.0864675070501774 0.117182697076303 0.0848310604580768 0.0946368953873941 0.0730442832720087 0.132224405680188 0.128039311288337 0.0710964795015818 0.121984715057146 0.0921369158727619 0.0923678387898491 0.0886122610139656 0.0987521405263678 0.113494722174265 0.0837291473127206 0.0923053211739193 0.104982010256303 0.102530123240475 0.150544817408227
